[2024-07-11T00:00:00.738+0000] {processor.py:161} INFO - Started process (PID=4333) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-07-11T00:00:00.738+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-07-11T00:00:00.740+0000] {logging_mixin.py:188} INFO - [2024-07-11T00:00:00.740+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-07-11T00:00:00.765+0000] {processor.py:840} INFO - DAG(s) 'dataset_produces_1', 'dataset_consumes_1', 'conditional_dataset_and_time_based_timetable', 'dataset_produces_2', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'consume_1_and_2_with_dataset_expressions', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_and_2', 'dataset_consumes_1_never_scheduled' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-07-11T00:00:00.851+0000] {logging_mixin.py:188} INFO - [2024-07-11T00:00:00.850+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2024-07-11T00:00:00.893+0000] {logging_mixin.py:188} INFO - [2024-07-11T00:00:00.893+0000] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-07-10 01:00:00+00:00, run_after=2024-07-10 01:00:00+00:00
[2024-07-11T00:00:00.899+0000] {logging_mixin.py:188} INFO - [2024-07-11T00:00:00.898+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-07-11T00:00:00.901+0000] {logging_mixin.py:188} INFO - [2024-07-11T00:00:00.900+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-07-11T00:00:00.902+0000] {logging_mixin.py:188} INFO - [2024-07-11T00:00:00.902+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-07-11T00:00:00.904+0000] {logging_mixin.py:188} INFO - [2024-07-11T00:00:00.904+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-07-11T00:00:00.907+0000] {logging_mixin.py:188} INFO - [2024-07-11T00:00:00.906+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-07-11T00:00:00.908+0000] {logging_mixin.py:188} INFO - [2024-07-11T00:00:00.908+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-07-11T00:00:00.910+0000] {logging_mixin.py:188} INFO - [2024-07-11T00:00:00.910+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-07-11T00:00:00.913+0000] {logging_mixin.py:188} INFO - [2024-07-11T00:00:00.913+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-07-10 00:00:00+00:00, run_after=2024-07-11 00:00:00+00:00
[2024-07-11T00:00:00.915+0000] {logging_mixin.py:188} INFO - [2024-07-11T00:00:00.915+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-07-11T00:00:00.982+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.253 seconds
